Database,Version,Table,Year,System,Flow,Satellite account,Unit,Region,Sector,Item,Value
EXIOBASE,3.10.2,IOT,2023,pxp,Intensity,GHG,kg CO2eq/M.EUR,AT,Sector,Electricity & transmission,359.27452658072707
EXIOBASE,3.10.2,IOT,2023,pxp,Intensity,GHG,kg CO2eq/M.EUR,AU,Sector,Electricity & transmission,14.818984239955098
EXIOBASE,3.10.2,IOT,2023,pxp,Intensity,GHG,kg CO2eq/M.EUR,BE,Sector,Electricity & transmission,3.6055924764770615
EXIOBASE,3.10.2,IOT,2023,pxp,Intensity,GHG,kg CO2eq/M.EUR,BG,Sector,Electricity & transmission,12221.770436587292
EXIOBASE,3.10.2,IOT,2023,pxp,Intensity,GHG,kg CO2eq/M.EUR,BR,Sector,Electricity & transmission,0.0
EXIOBASE,3.10.2,IOT,2023,pxp,Intensity,GHG,kg CO2eq/M.EUR,CA,Sector,Electricity & transmission,10.07333093522246
EXIOBASE,3.10.2,IOT,2023,pxp,Intensity,GHG,kg CO2eq/M.EUR,CH,Sector,Electricity & transmission,0.0
EXIOBASE,3.10.2,IOT,2023,pxp,Intensity,GHG,kg CO2eq/M.EUR,CN,Sector,Electricity & transmission,0.0
EXIOBASE,3.10.2,IOT,2023,pxp,Intensity,GHG,kg CO2eq/M.EUR,CY,Sector,Electricity & transmission,1.7089707994383414e-06
EXIOBASE,3.10.2,IOT,2023,pxp,Intensity,GHG,kg CO2eq/M.EUR,CZ,Sector,Electricity & transmission,1258.545277997132
EXIOBASE,3.10.2,IOT,2023,pxp,Intensity,GHG,kg CO2eq/M.EUR,DE,Sector,Electricity & transmission,34.34535962602959
EXIOBASE,3.10.2,IOT,2023,pxp,Intensity,GHG,kg CO2eq/M.EUR,DK,Sector,Electricity & transmission,2.812708132089896
EXIOBASE,3.10.2,IOT,2023,pxp,Intensity,GHG,kg CO2eq/M.EUR,EE,Sector,Electricity & transmission,0.717735340065037
EXIOBASE,3.10.2,IOT,2023,pxp,Intensity,GHG,kg CO2eq/M.EUR,ES,Sector,Electricity & transmission,13.940059792500367
EXIOBASE,3.10.2,IOT,2023,pxp,Intensity,GHG,kg CO2eq/M.EUR,FI,Sector,Electricity & transmission,1.3561715488962158
EXIOBASE,3.10.2,IOT,2023,pxp,Intensity,GHG,kg CO2eq/M.EUR,FR,Sector,Electricity & transmission,0.043186833089141285
EXIOBASE,3.10.2,IOT,2023,pxp,Intensity,GHG,kg CO2eq/M.EUR,GB,Sector,Electricity & transmission,317.3326856258584
EXIOBASE,3.10.2,IOT,2023,pxp,Intensity,GHG,kg CO2eq/M.EUR,GR,Sector,Electricity & transmission,0.0
EXIOBASE,3.10.2,IOT,2023,pxp,Intensity,GHG,kg CO2eq/M.EUR,HR,Sector,Electricity & transmission,2.228653715657839
EXIOBASE,3.10.2,IOT,2023,pxp,Intensity,GHG,kg CO2eq/M.EUR,HU,Sector,Electricity & transmission,5464.031105908974
EXIOBASE,3.10.2,IOT,2023,pxp,Intensity,GHG,kg CO2eq/M.EUR,ID,Sector,Electricity & transmission,1.8399822567757016e-05
EXIOBASE,3.10.2,IOT,2023,pxp,Intensity,GHG,kg CO2eq/M.EUR,IE,Sector,Electricity & transmission,1856.0850200943578
EXIOBASE,3.10.2,IOT,2023,pxp,Intensity,GHG,kg CO2eq/M.EUR,IN,Sector,Electricity & transmission,4.747445735085141
EXIOBASE,3.10.2,IOT,2023,pxp,Intensity,GHG,kg CO2eq/M.EUR,IT,Sector,Electricity & transmission,28.44242369569815
EXIOBASE,3.10.2,IOT,2023,pxp,Intensity,GHG,kg CO2eq/M.EUR,JP,Sector,Electricity & transmission,0.0
EXIOBASE,3.10.2,IOT,2023,pxp,Intensity,GHG,kg CO2eq/M.EUR,KR,Sector,Electricity & transmission,0.0
EXIOBASE,3.10.2,IOT,2023,pxp,Intensity,GHG,kg CO2eq/M.EUR,LT,Sector,Electricity & transmission,0.2867495298375339
EXIOBASE,3.10.2,IOT,2023,pxp,Intensity,GHG,kg CO2eq/M.EUR,LU,Sector,Electricity & transmission,0.05365091179163081
EXIOBASE,3.10.2,IOT,2023,pxp,Intensity,GHG,kg CO2eq/M.EUR,LV,Sector,Electricity & transmission,20.20325444408884
EXIOBASE,3.10.2,IOT,2023,pxp,Intensity,GHG,kg CO2eq/M.EUR,MT,Sector,Electricity & transmission,2.0367146645356366e-07
EXIOBASE,3.10.2,IOT,2023,pxp,Intensity,GHG,kg CO2eq/M.EUR,MX,Sector,Electricity & transmission,0.1461252559608571
EXIOBASE,3.10.2,IOT,2023,pxp,Intensity,GHG,kg CO2eq/M.EUR,NL,Sector,Electricity & transmission,15.870624936124305
EXIOBASE,3.10.2,IOT,2023,pxp,Intensity,GHG,kg CO2eq/M.EUR,NO,Sector,Electricity & transmission,0.0
EXIOBASE,3.10.2,IOT,2023,pxp,Intensity,GHG,kg CO2eq/M.EUR,PL,Sector,Electricity & transmission,8.116658340572972
EXIOBASE,3.10.2,IOT,2023,pxp,Intensity,GHG,kg CO2eq/M.EUR,PT,Sector,Electricity & transmission,2.762603157455871
EXIOBASE,3.10.2,IOT,2023,pxp,Intensity,GHG,kg CO2eq/M.EUR,RO,Sector,Electricity & transmission,0.0
EXIOBASE,3.10.2,IOT,2023,pxp,Intensity,GHG,kg CO2eq/M.EUR,RU,Sector,Electricity & transmission,63.440528339721126
EXIOBASE,3.10.2,IOT,2023,pxp,Intensity,GHG,kg CO2eq/M.EUR,SE,Sector,Electricity & transmission,1.3958805285805114
EXIOBASE,3.10.2,IOT,2023,pxp,Intensity,GHG,kg CO2eq/M.EUR,SI,Sector,Electricity & transmission,2.0010187941332096
EXIOBASE,3.10.2,IOT,2023,pxp,Intensity,GHG,kg CO2eq/M.EUR,SK,Sector,Electricity & transmission,122.00595058001451
EXIOBASE,3.10.2,IOT,2023,pxp,Intensity,GHG,kg CO2eq/M.EUR,TR,Sector,Electricity & transmission,47.62282905383053
EXIOBASE,3.10.2,IOT,2023,pxp,Intensity,GHG,kg CO2eq/M.EUR,TW,Sector,Electricity & transmission,0.0
EXIOBASE,3.10.2,IOT,2023,pxp,Intensity,GHG,kg CO2eq/M.EUR,US,Sector,Electricity & transmission,0.0009299191572682491
EXIOBASE,3.10.2,IOT,2023,pxp,Intensity,GHG,kg CO2eq/M.EUR,WA,Sector,Electricity & transmission,27.24205765580717
EXIOBASE,3.10.2,IOT,2023,pxp,Intensity,GHG,kg CO2eq/M.EUR,WE,Sector,Electricity & transmission,19.539861561845324
EXIOBASE,3.10.2,IOT,2023,pxp,Intensity,GHG,kg CO2eq/M.EUR,WF,Sector,Electricity & transmission,3650.9567352637005
EXIOBASE,3.10.2,IOT,2023,pxp,Intensity,GHG,kg CO2eq/M.EUR,WL,Sector,Electricity & transmission,95.69454046741474
EXIOBASE,3.10.2,IOT,2023,pxp,Intensity,GHG,kg CO2eq/M.EUR,WM,Sector,Electricity & transmission,83.80841487744016
EXIOBASE,3.10.2,IOT,2023,pxp,Intensity,GHG,kg CO2eq/M.EUR,ZA,Sector,Electricity & transmission,6.024195152826135
EXIOBASE,3.10.2,IOT,2023,pxp,Footprint,GHG,kg CO2eq/M.EUR,AT,Sector,Electricity & transmission,10200.820978035645
EXIOBASE,3.10.2,IOT,2023,pxp,Footprint,GHG,kg CO2eq/M.EUR,AU,Sector,Electricity & transmission,21228.70361743365
EXIOBASE,3.10.2,IOT,2023,pxp,Footprint,GHG,kg CO2eq/M.EUR,BE,Sector,Electricity & transmission,8538.86699551319
EXIOBASE,3.10.2,IOT,2023,pxp,Footprint,GHG,kg CO2eq/M.EUR,BG,Sector,Electricity & transmission,28713.43619788195
EXIOBASE,3.10.2,IOT,2023,pxp,Footprint,GHG,kg CO2eq/M.EUR,BR,Sector,Electricity & transmission,36853.85643188907
EXIOBASE,3.10.2,IOT,2023,pxp,Footprint,GHG,kg CO2eq/M.EUR,CA,Sector,Electricity & transmission,19131.218749387204
EXIOBASE,3.10.2,IOT,2023,pxp,Footprint,GHG,kg CO2eq/M.EUR,CH,Sector,Electricity & transmission,4736.820132378461
EXIOBASE,3.10.2,IOT,2023,pxp,Footprint,GHG,kg CO2eq/M.EUR,CN,Sector,Electricity & transmission,74139.30716374156
EXIOBASE,3.10.2,IOT,2023,pxp,Footprint,GHG,kg CO2eq/M.EUR,CY,Sector,Electricity & transmission,5557.761837774993
EXIOBASE,3.10.2,IOT,2023,pxp,Footprint,GHG,kg CO2eq/M.EUR,CZ,Sector,Electricity & transmission,57327.43363641969
EXIOBASE,3.10.2,IOT,2023,pxp,Footprint,GHG,kg CO2eq/M.EUR,DE,Sector,Electricity & transmission,11399.310151673924
EXIOBASE,3.10.2,IOT,2023,pxp,Footprint,GHG,kg CO2eq/M.EUR,DK,Sector,Electricity & transmission,2702.147669366029
EXIOBASE,3.10.2,IOT,2023,pxp,Footprint,GHG,kg CO2eq/M.EUR,EE,Sector,Electricity & transmission,2999.8206697533283
EXIOBASE,3.10.2,IOT,2023,pxp,Footprint,GHG,kg CO2eq/M.EUR,ES,Sector,Electricity & transmission,9981.970341772096
EXIOBASE,3.10.2,IOT,2023,pxp,Footprint,GHG,kg CO2eq/M.EUR,FI,Sector,Electricity & transmission,5519.534525766447
EXIOBASE,3.10.2,IOT,2023,pxp,Footprint,GHG,kg CO2eq/M.EUR,FR,Sector,Electricity & transmission,12751.663957062685
EXIOBASE,3.10.2,IOT,2023,pxp,Footprint,GHG,kg CO2eq/M.EUR,GB,Sector,Electricity & transmission,9624.504013034793
EXIOBASE,3.10.2,IOT,2023,pxp,Footprint,GHG,kg CO2eq/M.EUR,GR,Sector,Electricity & transmission,47363.35635477057
EXIOBASE,3.10.2,IOT,2023,pxp,Footprint,GHG,kg CO2eq/M.EUR,HR,Sector,Electricity & transmission,35878.485474020505
EXIOBASE,3.10.2,IOT,2023,pxp,Footprint,GHG,kg CO2eq/M.EUR,HU,Sector,Electricity & transmission,74670.57509128709
EXIOBASE,3.10.2,IOT,2023,pxp,Footprint,GHG,kg CO2eq/M.EUR,ID,Sector,Electricity & transmission,17150.718418248096
EXIOBASE,3.10.2,IOT,2023,pxp,Footprint,GHG,kg CO2eq/M.EUR,IE,Sector,Electricity & transmission,17734.33446400329
EXIOBASE,3.10.2,IOT,2023,pxp,Footprint,GHG,kg CO2eq/M.EUR,IN,Sector,Electricity & transmission,79285.37257873423
EXIOBASE,3.10.2,IOT,2023,pxp,Footprint,GHG,kg CO2eq/M.EUR,IT,Sector,Electricity & transmission,36887.00843098089
EXIOBASE,3.10.2,IOT,2023,pxp,Footprint,GHG,kg CO2eq/M.EUR,JP,Sector,Electricity & transmission,39541.832152605
EXIOBASE,3.10.2,IOT,2023,pxp,Footprint,GHG,kg CO2eq/M.EUR,KR,Sector,Electricity & transmission,97580.15718991897
EXIOBASE,3.10.2,IOT,2023,pxp,Footprint,GHG,kg CO2eq/M.EUR,LT,Sector,Electricity & transmission,5490.298369502651
EXIOBASE,3.10.2,IOT,2023,pxp,Footprint,GHG,kg CO2eq/M.EUR,LU,Sector,Electricity & transmission,19782.18824640026
