Database,Version,Table,Year,Flow,Satellite account,Unit,Region,Sector,Item,Value
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,AFG,Sector,"Electricity, Gas and Water",0.0021045858541251542
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,ALB,Sector,"Electricity, Gas and Water",0.0019814045740104607
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,DZA,Sector,"Electricity, Gas and Water",0.0025190907502871704
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,AND,Sector,"Electricity, Gas and Water",0.00017771958227733552
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,AGO,Sector,"Electricity, Gas and Water",0.00020811298858164852
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,ATG,Sector,"Electricity, Gas and Water",0.02254407081564593
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,ARG,Sector,"Electricity, Gas and Water",0.0019840340577750677
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,ARM,Sector,"Electricity, Gas and Water",0.003270501277484367
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,ABW,Sector,"Electricity, Gas and Water",0.006549300291348232
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,AUS,Sector,"Electricity, Gas and Water",0.00491061800012912
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,AUT,Sector,"Electricity, Gas and Water",0.0007126459493420261
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,AZE,Sector,"Electricity, Gas and Water",0.002961005189948161
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,BHS,Sector,"Electricity, Gas and Water",0.0037114062498537657
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,BHR,Sector,"Electricity, Gas and Water",0.0030293171926020325
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,BGD,Sector,"Electricity, Gas and Water",0.0035298903463076977
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,BRB,Sector,"Electricity, Gas and Water",0.010535613053657938
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,BLR,Sector,"Electricity, Gas and Water",0.07735943173913525
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,BEL,Sector,"Electricity, Gas and Water",0.0016202120410839945
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,BLZ,Sector,"Electricity, Gas and Water",0.018186372023314034
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,BEN,Sector,"Electricity, Gas and Water",0.008018798838242676
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,BMU,Sector,"Electricity, Gas and Water",0.0023018445704994146
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,BTN,Sector,"Electricity, Gas and Water",0.003589769091013757
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,BOL,Sector,"Electricity, Gas and Water",0.0038681910415818838
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,BIH,Sector,"Electricity, Gas and Water",0.012271399030022594
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,BWA,Sector,"Electricity, Gas and Water",0.0011775451057459401
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,BRA,Sector,"Electricity, Gas and Water",0.00043844255285640046
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,VGB,Sector,"Electricity, Gas and Water",0.031153241138673182
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,BRN,Sector,"Electricity, Gas and Water",0.002148603462266912
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,BGR,Sector,"Electricity, Gas and Water",0.0025816560663429154
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,BFA,Sector,"Electricity, Gas and Water",0.0013298620627343286
