Database,Version,Table,Year,System,Flow,Satellite account,Unit,Region,Sector,Item,Value
EXIOBASE,3.10.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,AT,Sector,Production T&D of electricity,371036.9416307491
EXIOBASE,3.10.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,AU,Sector,Production T&D of electricity,4893937.44174906
EXIOBASE,3.10.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,BE,Sector,Production T&D of electricity,1218840.4897437396
EXIOBASE,3.10.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,BG,Sector,Production T&D of electricity,4512866.730986925
EXIOBASE,3.10.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,BR,Sector,Production T&D of electricity,794642.8997019535
EXIOBASE,3.10.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,CA,Sector,Production T&D of electricity,2061778.20716384
EXIOBASE,3.10.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,CH,Sector,Production T&D of electricity,24339.866951200333
EXIOBASE,3.10.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,CN,Sector,Production T&D of electricity,7068273.110631534
EXIOBASE,3.10.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,CY,Sector,Production T&D of electricity,5426159.587474493
EXIOBASE,3.10.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,CZ,Sector,Production T&D of electricity,3651544.047121106
EXIOBASE,3.10.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,DE,Sector,Production T&D of electricity,2282134.9539899956
EXIOBASE,3.10.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,DK,Sector,Production T&D of electricity,164742.83357541307
EXIOBASE,3.10.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,EE,Sector,Production T&D of electricity,5019718.22234358
EXIOBASE,3.10.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,ES,Sector,Production T&D of electricity,2017721.0962093927
EXIOBASE,3.10.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,FI,Sector,Production T&D of electricity,966864.6646126298
EXIOBASE,3.10.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,FR,Sector,Production T&D of electricity,487064.5387370714
EXIOBASE,3.10.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,GB,Sector,Production T&D of electricity,1017270.2924702443
EXIOBASE,3.10.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,GR,Sector,Production T&D of electricity,3014520.3370637144
EXIOBASE,3.10.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,HR,Sector,Production T&D of electricity,1684393.8121390038
EXIOBASE,3.10.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,HU,Sector,Production T&D of electricity,2331951.1959658405
EXIOBASE,3.10.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,ID,Sector,Production T&D of electricity,3145121.1881453367
EXIOBASE,3.10.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,IE,Sector,Production T&D of electricity,2414207.531768618
EXIOBASE,3.10.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,IN,Sector,Production T&D of electricity,10050200.612874765
EXIOBASE,3.10.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,IT,Sector,Production T&D of electricity,1891488.6392569449
EXIOBASE,3.10.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,JP,Sector,Production T&D of electricity,3195824.845033476
EXIOBASE,3.10.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,KR,Sector,Production T&D of electricity,6314887.176839399
EXIOBASE,3.10.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,LT,Sector,Production T&D of electricity,252053.8141451384
EXIOBASE,3.10.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,LU,Sector,Production T&D of electricity,240069.41795673722
EXIOBASE,3.10.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,LV,Sector,Production T&D of electricity,398975.54988054157
EXIOBASE,3.10.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,MT,Sector,Production T&D of electricity,1193625.5860278043
EXIOBASE,3.10.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,MX,Sector,Production T&D of electricity,4713325.322541935
EXIOBASE,3.10.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,NL,Sector,Production T&D of electricity,3410503.0189710883
EXIOBASE,3.10.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,NO,Sector,Production T&D of electricity,29106.999945195563
EXIOBASE,3.10.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,PL,Sector,Production T&D of electricity,6891703.011432421
EXIOBASE,3.10.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,PT,Sector,Production T&D of electricity,2062416.0967902702
EXIOBASE,3.10.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,RO,Sector,Production T&D of electricity,3531030.262583595
EXIOBASE,3.10.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,RU,Sector,Production T&D of electricity,5396979.256309059
EXIOBASE,3.10.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,SE,Sector,Production T&D of electricity,28207.2342769018
EXIOBASE,3.10.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,SI,Sector,Production T&D of electricity,3213580.3244631463
EXIOBASE,3.10.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,SK,Sector,Production T&D of electricity,1022764.9227221995
EXIOBASE,3.10.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,TR,Sector,Production T&D of electricity,4458045.15215348
EXIOBASE,3.10.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,TW,Sector,Production T&D of electricity,26102479.390098725
EXIOBASE,3.10.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,US,Sector,Production T&D of electricity,6098873.035163155
EXIOBASE,3.10.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,WA,Sector,Production T&D of electricity,11667366.593548097
EXIOBASE,3.10.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,WE,Sector,Production T&D of electricity,24405362.92719753
EXIOBASE,3.10.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,WF,Sector,Production T&D of electricity,4147346.4498880706
EXIOBASE,3.10.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,WL,Sector,Production T&D of electricity,4672595.69949657
EXIOBASE,3.10.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,WM,Sector,Production T&D of electricity,9721218.511778297
EXIOBASE,3.10.2,IOT,2017,ixi,Intensity,GHG,kg CO2eq/M.EUR,ZA,Sector,Production T&D of electricity,11994469.38615636
EXIOBASE,3.10.2,IOT,2017,ixi,Footprint,GHG,kg CO2eq/M.EUR,AT,Sector,Production T&D of electricity,1098153.8240664497
EXIOBASE,3.10.2,IOT,2017,ixi,Footprint,GHG,kg CO2eq/M.EUR,AU,Sector,Production T&D of electricity,5587692.081407562
EXIOBASE,3.10.2,IOT,2017,ixi,Footprint,GHG,kg CO2eq/M.EUR,BE,Sector,Production T&D of electricity,1528986.3257441795
EXIOBASE,3.10.2,IOT,2017,ixi,Footprint,GHG,kg CO2eq/M.EUR,BG,Sector,Production T&D of electricity,4966601.964479839
EXIOBASE,3.10.2,IOT,2017,ixi,Footprint,GHG,kg CO2eq/M.EUR,BR,Sector,Production T&D of electricity,1102630.6222565272
EXIOBASE,3.10.2,IOT,2017,ixi,Footprint,GHG,kg CO2eq/M.EUR,CA,Sector,Production T&D of electricity,2180845.61056597
EXIOBASE,3.10.2,IOT,2017,ixi,Footprint,GHG,kg CO2eq/M.EUR,CH,Sector,Production T&D of electricity,574061.352348065
EXIOBASE,3.10.2,IOT,2017,ixi,Footprint,GHG,kg CO2eq/M.EUR,CN,Sector,Production T&D of electricity,11500804.150851028
EXIOBASE,3.10.2,IOT,2017,ixi,Footprint,GHG,kg CO2eq/M.EUR,CY,Sector,Production T&D of electricity,6229637.785018223
EXIOBASE,3.10.2,IOT,2017,ixi,Footprint,GHG,kg CO2eq/M.EUR,CZ,Sector,Production T&D of electricity,4452017.056700599
EXIOBASE,3.10.2,IOT,2017,ixi,Footprint,GHG,kg CO2eq/M.EUR,DE,Sector,Production T&D of electricity,2745626.0765934577
EXIOBASE,3.10.2,IOT,2017,ixi,Footprint,GHG,kg CO2eq/M.EUR,DK,Sector,Production T&D of electricity,444735.0019047713
EXIOBASE,3.10.2,IOT,2017,ixi,Footprint,GHG,kg CO2eq/M.EUR,EE,Sector,Production T&D of electricity,5487913.206129545
