Database,Version,Table,Year,System,Flow,Satellite account,Unit,Region,Sector,Item,Value
EXIOBASE,3.10.2,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,AT,Sector,Electricity & transmission,279721.97724696907
EXIOBASE,3.10.2,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,AU,Sector,Electricity & transmission,4078135.015771977
EXIOBASE,3.10.2,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,BE,Sector,Electricity & transmission,1046968.3324511168
EXIOBASE,3.10.2,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,BG,Sector,Electricity & transmission,4844440.441505641
EXIOBASE,3.10.2,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,BR,Sector,Electricity & transmission,793141.6284817925
EXIOBASE,3.10.2,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,CA,Sector,Electricity & transmission,1352897.5443778355
EXIOBASE,3.10.2,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,CH,Sector,Electricity & transmission,19147.440685072077
EXIOBASE,3.10.2,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,CN,Sector,Electricity & transmission,6922088.655475288
EXIOBASE,3.10.2,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,CY,Sector,Electricity & transmission,5440980.289736515
EXIOBASE,3.10.2,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,CZ,Sector,Electricity & transmission,3707108.316182866
EXIOBASE,3.10.2,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,DE,Sector,Electricity & transmission,2015491.7421206424
EXIOBASE,3.10.2,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,DK,Sector,Electricity & transmission,100609.90319448555
EXIOBASE,3.10.2,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,EE,Sector,Electricity & transmission,4497282.138628634
EXIOBASE,3.10.2,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,ES,Sector,Electricity & transmission,1645539.361256502
EXIOBASE,3.10.2,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,FI,Sector,Electricity & transmission,832033.032684675
EXIOBASE,3.10.2,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,FR,Sector,Electricity & transmission,486914.03098688135
EXIOBASE,3.10.2,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,GB,Sector,Electricity & transmission,1018457.9436261997
EXIOBASE,3.10.2,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,GR,Sector,Electricity & transmission,2991099.051455636
EXIOBASE,3.10.2,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,HR,Sector,Electricity & transmission,1363445.256415751
EXIOBASE,3.10.2,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,HU,Sector,Electricity & transmission,2426136.850299838
EXIOBASE,3.10.2,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,ID,Sector,Electricity & transmission,3145121.188294867
EXIOBASE,3.10.2,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,IE,Sector,Electricity & transmission,2310272.450385789
EXIOBASE,3.10.2,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,IN,Sector,Electricity & transmission,10043223.21682367
EXIOBASE,3.10.2,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,IT,Sector,Electricity & transmission,1750883.9963464213
EXIOBASE,3.10.2,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,JP,Sector,Electricity & transmission,3165172.974313568
EXIOBASE,3.10.2,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,KR,Sector,Electricity & transmission,7102401.309696985
EXIOBASE,3.10.2,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,LT,Sector,Electricity & transmission,142834.1208149424
EXIOBASE,3.10.2,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,LU,Sector,Electricity & transmission,27149.661160098385
EXIOBASE,3.10.2,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,LV,Sector,Electricity & transmission,199543.52615889715
EXIOBASE,3.10.2,IOT,2017,pxp,Intensity,GHG,kg CO2eq/M.EUR,MT,Sector,Electricity & transmission,750877.3098400349
