Database,Version,Table,Year,System,Flow,Satellite account,Unit,Region,Sector,Item,Value,Type
EXIOBASE,3.10.2,IOT,2017,ixi,Intensity,GHG,g/kWh,AT,Sector,Production T&D of electricity,24.867699028118444,Monetary
EXIOBASE,3.10.2,IOT,2017,ixi,Intensity,GHG,g/kWh,BE,Sector,Production T&D of electricity,120.05441513263511,Monetary
EXIOBASE,3.10.2,IOT,2017,ixi,Intensity,GHG,g/kWh,BG,Sector,Production T&D of electricity,379.9652058108268,Monetary
EXIOBASE,3.10.2,IOT,2017,ixi,Intensity,GHG,g/kWh,CY,Sector,Production T&D of electricity,441.6223673766836,Monetary
EXIOBASE,3.10.2,IOT,2017,ixi,Intensity,GHG,g/kWh,CZ,Sector,Production T&D of electricity,249.89698287287342,Monetary
EXIOBASE,3.10.2,IOT,2017,ixi,Intensity,GHG,g/kWh,DE,Sector,Production T&D of electricity,171.672964542431,Monetary
EXIOBASE,3.10.2,IOT,2017,ixi,Intensity,GHG,g/kWh,DK,Sector,Production T&D of electricity,11.156234106957086,Monetary
EXIOBASE,3.10.2,IOT,2017,ixi,Intensity,GHG,g/kWh,EE,Sector,Production T&D of electricity,266.0762751428212,Monetary
EXIOBASE,3.10.2,IOT,2017,ixi,Intensity,GHG,g/kWh,ES,Sector,Production T&D of electricity,232.69812639391495,Monetary
EXIOBASE,3.10.2,IOT,2017,ixi,Intensity,GHG,g/kWh,FI,Sector,Production T&D of electricity,60.21326234989164,Monetary
EXIOBASE,3.10.2,IOT,2017,ixi,Intensity,GHG,g/kWh,FR,Sector,Production T&D of electricity,37.806615732441045,Monetary
EXIOBASE,3.10.2,IOT,2017,ixi,Intensity,GHG,g/kWh,HR,Sector,Production T&D of electricity,140.48817531207746,Monetary
EXIOBASE,3.10.2,IOT,2017,ixi,Intensity,GHG,g/kWh,HU,Sector,Production T&D of electricity,126.90957135676048,Monetary
EXIOBASE,3.10.2,IOT,2017,ixi,Intensity,GHG,g/kWh,IE,Sector,Production T&D of electricity,318.41301141581135,Monetary
EXIOBASE,3.10.2,IOT,2017,ixi,Intensity,GHG,g/kWh,IT,Sector,Production T&D of electricity,189.68917706416948,Monetary
EXIOBASE,3.10.2,IOT,2017,ixi,Intensity,GHG,g/kWh,LT,Sector,Production T&D of electricity,14.354437991832684,Monetary
EXIOBASE,3.10.2,IOT,2017,ixi,Intensity,GHG,g/kWh,LU,Sector,Production T&D of electricity,13.349274621163593,Monetary
EXIOBASE,3.10.2,IOT,2017,ixi,Intensity,GHG,g/kWh,LV,Sector,Production T&D of electricity,26.184452696273294,Monetary
EXIOBASE,3.10.2,IOT,2017,ixi,Intensity,GHG,g/kWh,MT,Sector,Production T&D of electricity,83.02537829626445,Monetary
